customer_name,total_sales,value_quartile
Joy Bell,22948.76,1
Arthur Prichep,22947.0,1
Sheri Gordon,22900.13,1
John Lee,22803.96,1
Christina Vanderzanden,22776.32,1
Bobby Trafton,22765.56,1
Andrew Roberts,22571.02,1
Craig Molinari,22570.38,1
Denise Monton,22513.17,1
Jason Fortune,22455.02,1
Doug Bickford,22353.56,1
William Brown,22329.17,1
Julia Barnett,22316.3,1
Chris Cortes,22077.73,1
Pauline Chand,21910.68,1
Mick Crebagga,21817.78,1
Gary Hwang,21771.25,1
Bruce Degenhardt,21475.22,1
Janet Lee,21422.09,1
Anthony O'Donnell,21390.25,1
Ralph Kennedy,21329.73,1
Luke Foster,21231.0,1
Peter Fuller,21166.76,1
Eugene Hildebrand,21144.72,1
Laurel Workman,21138.76,1
Steven Roelle,21108.36,1
Aleksandra Gannaway,20995.12,1
Vicky Freymann,20949.49,1
Julie Prescott,20917.49,1
Khloe Miller,20916.95,1
Katharine Harms,20914.09,1
Russell Applegate,20903.64,2
Julia Dunbar,20868.1,2
Nancy Lomonaco,20751.62,2
Roger Demir,20742.67,2
Rick Bensley,20704.22,2
Mike Vittorini,20601.49,2
Jim Karlsson,20482.91,2
Fred Harton,20464.27,2
Dana Kaydos,20459.49,2
Erin Mull,20446.29,2
Duane Benoit,20368.35,2
Sung Pak,20346.16,2
Erica Bern,20333.82,2
Bryan Mills,20322.63,2
Steven Ward,20241.5,2
Sally Hughsby,20162.59,2
Todd Boyes,20114.62,2
Larry Tron,20105.12,2
Adam Shillingsburg,20059.68,2
Eugene Moren,20006.71,2
Tanja Norvell,19999.46,2
Naresj Patel,19963.88,2
Maria Zettner,19871.82,2
Irene Maddox,19836.31,2
Caroline Jumper,19831.08,2
Jeremy Lonsdale,19810.64,2
Michelle Lonsdale,19784.04,2
Suzanne McNair,19717.84,2
Katherine Murray,19712.98,2
Victoria Pisteka,19614.36,2
Mike Caudle,19580.65,2
Ricardo Emerson,19562.37,2
Jim Kriz,19534.16,2
Barbara Fisher,19473.14,2
Joni Blumstein,19446.71,2
Melanie Page,19415.42,2
Neoma Murray,19406.44,2
Ionia McGrath,19128.58,2
Alex Avila,19106.36,2
Tracy Zic,19018.65,2
Art Foster,19002.97,2
Sean Wendt,18947.68,2
Dario Medina,18937.42,2
Tamara Willingham,18922.51,2
Giulietta Dortch,18914.45,2
Jason Klamczynski,18910.79,2
Bart Watters,18834.22,2
Justin Knight,18807.25,2
Doug Bickford,18806.09,2
Guy Armstrong,18803.82,2
Carlos Daly,18753.13,2
Stuart Calhoun,18745.64,2
Guy Thornton,18690.38,2
Michael Dominguez,18670.64,2
Neil French,18629.9,2
Tracy Collins,18607.13,2
Resi Polking,18598.79,2
Gary Zandusky,18544.04,2
Nicole Brennan,18526.7,2
Katherine Nockton,18474.2,2
Maria Bertelson,18466.24,2
Helen Andreada,18378.8,2
Ed Ludwig,18368.42,2
Alan Hwang,18349.21,2
Greg Guthrie,18345.51,2
Evan Minnotte,18286.06,2
Laurel Elliston,18175.17,2
Toby Grace,18129.86,2
Xylona Price,18037.09,2
Jas O'Carroll,18017.78,2
Sean Braxton,17969.39,2
James Galang,17932.79,2
Darren Budd,17671.72,2
Kelly Andreada,17624.82,2
Susan Vittorini,17584.61,2
Brendan Dodson,17576.67,2
Sibella Parks,17557.87,2
Dorothy Badders,17521.09,2
Paul Van Hugh,17485.01,2
Tanja Norvell,17447.1,2
Christine Sundaresam,17420.85,2
Michael Nguyen,17409.38,2
Alan Barnes,17328.99,2
Heather Kirkland,17307.55,2
Ken Lonsdale,17304.68,2
Jennifer Halladay,17299.48,2
Jack O'Briant,17129.96,2
Christina DeMoss,17080.13,2
Ruben Ausman,17061.6,2
Joy Smith,16983.93,2
Charles Sheldon,16978.67,2
Kelly Williams,16900.59,2
Cyra Reiten,16834.37,2
Rick Wilson,16806.47,2
Scot Coram,16775.26,2
Dennis Bolton,16705.44,2
Barry Blumstein,16694.45,2
Randy Bradley,16598.0,2
Duane Huffman,16580.57,2
William Brown,16543.42,2
Quincy Jones,16502.39,2
Jennifer Ferguson,16496.35,2
Hunter Lopez,16454.35,2
Brenda Bowman,16450.67,2
Rob Dowd,16448.43,2
Pauline Chand,16432.94,2
Jay Kimmel,16429.3,2
Bill Shonely,16405.35,2
Quincy Jones,16380.94,2
Alejandro Savely,16337.61,2
Phillip Flathmann,16286.3,2
Alan Dominguez,16282.76,2
Greg Maxwell,16229.69,2
Chloris Kastensmidt,16178.89,2
Frank Atkinson,16155.57,2
Corey Catlett,16032.24,2
Dave Kipp,16026.45,2
Keith Dawkins,16010.5,2
Ricardo Block,16004.68,2
Helen Abelman,15996.56,2
David Philippe,15976.53,2
Christopher Schild,15970.54,2
Sara Luxemburg,15917.48,2
Nora Price,15793.83,2
Patrick Gardner,15785.51,2
Eric Barreto,15753.54,2
Paul Stevenson,15715.43,2
Neil Knudson,15693.04,2
Harry Marie,15678.46,2
Alejandro Ballentine,15672.39,2
Angele Hood,15650.15,2
Georgia Rosenberg,15647.49,2
Sally Knutson,15645.42,2
Grant Thornton,15596.55,2
Dave Brooks,15540.07,2
Luke Weiss,15534.39,2
Quincy Jones,15515.24,2
Liz Pelletier,15380.89,2
Sanjit Jacobs,15371.42,2
Dianna Vittorini,15314.54,2
Roy French,15290.05,2
Beth Fritzler,15287.67,2
Grant Donatelli,15285.53,2
Steve Nguyen,15250.51,2
Theone Pippenger,15223.73,2
Barry French,15179.61,2
Michael Moore,15077.85,2
Toby Carlisle,15070.04,2
Nora Pelletier,14980.88,2
Edward Nazzal,14973.15,2
Carlos Daly,14971.61,2
Corinna Mitchell,14938.99,2
Anne Pryor,14932.09,2
Denise Leinenbach,14922.16,2
Nick Zandusky,14815.81,2
Greg Guthrie,14744.91,2
Katrina Bavinger,14744.28,2
Michelle Lonsdale,14740.21,2
Shui Tom,14713.37,2
Nora Paige,14691.32,2
Sylvia Foulston,14643.61,2
Nathan Gelder,14532.89,2
Gary McGarr,14519.93,2
Randy Ferguson,14490.77,2
Ann Steele,14490.02,2
Ken Brennan,14334.76,2
Jack O'Briant,14299.4,2
Ashley Jarboe,14295.44,2
Dave Hallsten,14279.95,2
MaryBeth Skach,14278.5,2
Kristina Nunn,14244.18,2
Roland Black,14228.59,2
David Kendrick,14189.54,2
Liz Price,14182.64,2
Neil Knudson,14165.33,2
Thomas Boland,14160.67,2
Mick Brown,14156.22,2
Carl Ludwig,14143.66,2
Greg Hansen,14132.98,2
Dianna Arnett,14132.79,2
Nathan Mautz,14129.09,2
Penelope Sewall,14089.91,2
Nona Balk,14075.32,2
Ben Peterman,14044.88,2
Stuart Van,14040.89,2
Frank Gastineau,14006.92,2
Michelle Huthwaite,13895.81,2
Ed Jacobs,13887.67,2
Mark Van Huff,13864.8,2
Paul MacIntyre,13812.44,2
Mitch Webber,13806.53,2
Lindsay Castell,13721.2,2
Pete Armstrong,13712.17,2
Arthur Wiediger,13690.79,2
Eugene Barchas,13670.4,2
Jill Matthias,13624.05,2
Dennis Pardue,13620.49,2
Jack Garza,13571.35,2
Patrick O'Donnell,13551.11,2
Carl Jackson,13452.8,2
Annie Thurman,13435.6,2
Philip Fox,13433.41,2
Ken Dana,13408.68,2
Dorris Love,13340.84,2
Pamela Stobb,13306.16,2
Matt Abelman,13275.98,2
Rachel Payne,13246.14,2
Karen Daniels,13235.8,2
Sandra Flanagan,13156.32,2
Amy Hunt,13137.81,2
Katherine Hughes,13096.35,2
Toby Swindell,13089.79,2
Odella Nelson,13080.81,2
Tracy Blumstein,13049.66,2
Jennifer Braxton,13013.14,2
Henia Zydlo,12998.33,2
Vivian Mathis,12985.57,2
Brian Derr,12976.4,2
Denny Blanton,12969.19,2
Doug Jacobs,12966.24,2
Shui Tom,12959.07,2
Todd Boyes,12955.99,2
Alice McCarthy,12924.49,2
Denny Ordway,12916.31,2
Valerie Mitchum,12911.43,2
Shirley Daniels,12897.49,2
Sonia Sunley,12881.0,2
Nick Radford,12877.18,2
Maureen Fritzler,12873.38,2
Kristen Hastings,12871.99,2
Thomas Seio,12864.07,2
Shaun Chance,12748.14,2
Karen Ferguson,12553.79,2
Speros Goranitis,12539.34,2
Anthony Garverick,12532.47,2
Vivian Mathis,12529.57,2
Sally Knutson,12457.96,2
Tom Ashbrook,12422.87,2
Sean Christensen,12361.17,2
Giulietta Weimer,12354.27,2
Stefania Perrino,12332.51,2
Tim Taslimi,12331.79,2
Nicole Hansen,12304.27,2
Justin Hirsh,12303.67,2
Liz Carlisle,12282.8,2
Vivek Sundaresam,12155.53,2
Ken Dana,12121.79,2
Linda Cazamias,12119.77,3
Tony Molinari,12002.08,3
Harold Engle,11907.21,3
Dean Katz,11861.51,3
Dionis Lloyd,11855.35,3
Tracy Hopkins,11853.52,3
Erin Mull,11832.74,3
Shaun Weien,11813.18,3
Richard Eichhorn,11783.85,3
Anemone Ratner,11764.88,3
Shahid Collister,11728.45,3
Skye Norling,11710.83,3
Russell Applegate,11679.38,3
Don Miller,11676.57,3
Aaron Bergman,11630.59,3
Roy Collins,11626.16,3
Cindy Stewart,11624.26,3
Adam Bellavance,11577.58,3
Tamara Willingham,11573.05,3
Erica Hernandez,11552.29,3
Berenike Kampe,11540.97,3
Michelle Arnett,11529.58,3
Amy Hunt,11516.59,3
Sean O'Donnell,11506.36,3
Andy Gerbode,11498.09,3
Thais Sissman,11493.16,3
Mike Kennedy,11464.75,3
Lisa Hazard,11459.3,3
Anthony Witt,11434.64,3
John Dryer,11427.09,3
Barry Gonzalez,11390.91,3
Deirdre Greer,11346.65,3
Cari Sayre,11337.12,3
Jennifer Jackson,11314.66,3
Anthony Johnson,11276.62,3
Brian Moss,11195.68,3
Harry Greene,11194.87,3
Thais Sissman,11182.29,3
Maria Bertelson,11139.77,3
Edward Becker,11092.16,3
Thomas Thornton,11081.06,3
Max Ludwig,10922.7,3
George Zrebassa,10906.41,3
Anne Pryor,10890.59,3
Michael Grace,10884.82,3
Mike Gockenbach,10820.54,3
Laurel Elliston,10806.65,3
Karen Carlisle,10792.53,3
Sarah Brown,10778.67,3
Sarah Foster,10735.57,3
Tom Boeckenhauer,10719.98,3
Maribeth Yedwab,10653.82,3
Jenna Caffey,10648.51,3
Arthur Gainer,10648.14,3
Matt Collins,10578.37,3
Yoseph Carroll,10535.32,3
Guy Phonely,10399.88,3
Jessica Myrick,10295.92,3
Tracy Collins,10227.53,3
Ralph Knight,10174.91,3
Harold Dahlen,10159.9,3
Saphhira Shifley,10104.87,3
Sonia Cooley,10086.07,3
Anna Haberlin,10000.32,3
Julia West,9913.33,3
Sung Chung,9900.28,3
Karl Brown,9830.16,3
Mark Packer,9782.57,3
Mike Pelletier,9774.42,3
Eileen Kiefer,9751.54,3
Chris Selesnick,9718.65,3
Robert Waldorf,9698.11,3
Elpida Rittenbach,9677.3,3
Rob Beeghly,9664.17,3
Anna Andreadi,9639.53,3
Dianna Wilson,9611.36,3
Nora Price,9606.01,3
Jesus Ocampo,9561.57,3
Ashley Jarboe,9539.61,3
Arianne Irving,9516.26,3
Kimberly Carter,9485.41,3
Liz Price,9479.79,3
Alyssa Crouse,9463.98,3
Joseph Holt,9426.5,3
Dave Kipp,9375.72,3
Benjamin Patterson,9358.58,3
Dave Hallsten,9308.09,3
Darren Powers,9287.36,3
Peter Buhler,9281.88,3
Laura Armstrong,9271.94,3
Mick Crebagga,9224.53,3
Tracy Poddar,9212.67,3
Susan Pistek,9169.24,3
Joseph Airdo,9115.16,3
Michael Paige,9111.51,3
Craig Yedwab,9067.39,3
Bobby Odegard,9026.1,3
Eric Barreto,9016.3,3
Eugene Barchas,9015.81,3
Victoria Brennan,9011.42,3
Brian Dahlen,8989.49,3
Brad Norvell,8982.56,3
Patrick O'Brill,8970.39,3
Hallie Redmond,8930.83,3
Claire Good,8867.94,3
Aaron Smayling,8835.32,3
Thomas Brumley,8819.56,3
Frank Price,8811.62,3
Muhammed MacIntyre,8796.42,3
Tom Prescott,8761.64,3
Ken Brennan,8723.5,3
Pete Takahito,8694.5,3
Erica Hackney,8608.35,3
Lindsay Williams,8598.71,3
Rose O'Brian,8584.66,3
Tom Stivers,8526.77,3
Ted Trevino,8520.81,3
Logan Currie,8520.4,3
Craig Rider,8502.27,3
Lauren Leatherbury,8489.71,3
Stefanie Holloman,8451.08,3
Troy Staebel,8422.81,3
Debra Catini,8421.92,3
Nat Carroll,8415.25,3
Bobby Trafton,8413.79,3
Juliana Krohn,8401.6,3
Don Jones,8399.32,3
Philisse Overcash,8396.5,3
Steve Nguyen,8392.3,3
Tom Stivers,8315.92,3
Ralph Arnett,8292.69,3
Stewart Visinsky,8284.94,3
Raymond Fair,8270.08,3
Sarah Jordon,8199.34,3
Nicole Hansen,8166.92,3
Arthur Gainer,8116.92,3
Thea Hudgings,8085.06,3
Ryan Crowe,8069.14,3
Carol Darley,8041.87,3
Joel Eaton,8024.36,3
Theresa Coyne,8019.35,3
Andrew Allen,8006.96,3
Naresj Patel,7922.54,3
Eudokia Martin,7913.36,3
Evan Henry,7909.82,3
Amy Cox,7884.94,3
Alan Hwang,7868.69,3
Daniel Byrd,7865.08,3
Christopher Conant,7858.92,3
Jim Mitchum,7852.36,3
Katrina Bavinger,7839.87,3
Sylvia Foulston,7817.45,3
Alex Russell,7813.32,3
Dennis Pardue,7752.49,3
George Ashbrook,7748.54,3
Bruce Stewart,7739.62,3
Christine Phan,7719.01,3
Brad Eason,7703.36,3
Greg Matthias,7694.62,3
Tamara Chand,7676.21,3
Nora Pelletier,7668.0,3
Noah Childs,7636.62,3
Erin Ashbrook,7588.14,3
Kean Takahito,7570.14,3
John Castell,7557.49,3
Kelly Lampkin,7553.91,3
Fred Wasserman,7487.96,3
Mike Pelletier,7468.86,3
Thea Hendricks,7459.05,3
Bryan Spruell,7428.24,3
Carlos Meador,7384.54,3
John Lucas,7364.31,3
Gene McClure,7313.16,3
Eric Hoffmann,7300.17,3
Craig Yedwab,7293.48,3
Astrea Jones,7290.12,3
Ann Chong,7276.62,3
Maya Herman,7274.61,3
Erin Smith,7189.49,3
Charlotte Melton,7188.12,3
Beth Paige,7105.94,3
Richard Bierner,7103.95,3
Natalie Webber,7076.91,3
Edward Becker,7057.4,3
Shirley Schmidt,7054.72,3
Vivek Gonzalez,7054.69,3
Valerie Dominguez,7052.12,3
Steve Carroll,7032.48,3
Lena Hernandez,7008.43,3
Craig Carroll,6996.79,3
Jeremy Pistek,6987.77,3
Roy Phan,6945.25,3
Sue Ann Reed,6922.82,3
Annie Cyprus,6874.59,3
Joni Wasserman,6869.84,3
Marc Crier,6868.9,3
Becky Castell,6868.31,3
Kean Thornton,6832.89,3
Joseph Airdo,6805.65,3
Michael Granlund,6736.6,3
Gene Hale,6647.61,3
Giulietta Dortch,6637.97,3
Monica Federle,6626.16,3
Clay Rozendal,6611.44,3
Cari Schnelling,6552.15,3
David Flashing,6535.62,3
Katherine Nockton,6531.32,3
Natalie Webber,6487.58,3
Hunter Glantz,6445.83,3
Allen Armold,6410.46,3
Sam Craven,6401.41,3
Michelle Tran,6390.5,3
Allen Rosenblatt,6367.81,3
Nat Gilpin,6346.41,3
Michael Kennedy,6339.31,3
Victor Price,6329.39,3
Giulietta Baptist,6292.67,3
Robert Dilbeck,6232.9,3
Elizabeth Moffitt,6207.64,3
Michael Stewart,6140.26,3
Theresa Swint,6125.1,3
Lindsay Shagiari,6084.93,3
Pauline Johnson,6044.71,3
Darrin Van Huff,6043.02,3
Cynthia Voltz,6031.79,3
Neola Schneider,6013.87,3
Alan Shonely,5907.21,3
Robert Marley,5860.37,3
Randy Ferguson,5841.35,3
Keith Herrera,5811.97,3
Shahid Shariari,5771.88,3
Joe Kamberova,5761.31,3
Susan Gilcrest,5709.48,3
Carol Triggs,5679.59,3
Ross Baird,5602.63,3
Lycoris Saunders,5589.0,3
Rob Haberlin,5585.97,3
Greg Matthias,5561.63,3
Tony Sayre,5541.46,3
Carol Adams,5536.83,3
Jeremy Ellison,5524.13,3
Daniel Lacy,5490.0,3
Mike Kennedy,5465.01,3
Keith Herrera,5449.11,3
Trudy Schmidt,5428.99,3
George Zrebassa,5418.68,3
Rob Lucas,5395.09,3
Rick Hansen,5384.93,4
Lynn Smith,5371.4,4
Shirley Jackson,5333.76,4
Kean Nguyen,5329.33,4
Sally Matthias,5326.34,4
Cynthia Delaney,5288.89,4
Dean Braden,5284.82,4
Mitch Gastineau,5264.48,4
Jill Fjeld,5215.44,4
Sally Knutson,5205.83,4
Rachel Payne,5188.14,4
Tom Zandusky,5186.99,4
Lena Radford,5169.22,4
Sally Knutson,5140.08,4
Chad McGuire,5121.92,4
Maris LaWare,5062.99,4
Sung Shariari,4984.61,4
Barry Pond,4967.58,4
Ann Blume,4862.31,4
Trudy Brown,4784.59,4
Pierre Wener,4751.86,4
Sharelle Roach,4735.26,4
Joy Daniels,4697.72,4
Bill Stewart,4652.33,4
Adrian Shami,4615.54,4
Kimberly Carter,4611.71,4
Shahid Hopkins,4605.22,4
Jane Waco,4598.55,4
Allen Golden,4582.39,4
Claudia Miner,4561.83,4
Laurel Beltran,4531.91,4
Jennifer Ferguson,4502.32,4
Craig Carroll,4496.34,4
Paul Prost,4487.7,4
Chuck Magee,4466.26,4
Meg O'Connel,4448.82,4
Clay Ludtke,4428.07,4
Catherine Glotzbach,4412.02,4
Ryan Akin,4327.86,4
Frank Merwin,4320.53,4
Cathy Hwang,4312.03,4
Nathan Cano,4284.06,4
Neil Ducich,4263.96,4
Dean Percer,4228.61,4
Don Weiss,4208.05,4
Cindy Chapman,4199.81,4
Herbert Flentye,4189.18,4
Brad Thomas,4174.52,4
Jason Klamczynski,4163.68,4
Katherine Ducich,4159.35,4
Vivek Grady,4145.72,4
Julie Creighton,4143.56,4
Joe Elijah,4138.43,4
Mary O'Rourke,4110.91,4
Dan Campbell,4088.9,4
Corey Roper,4069.64,4
Fred Chung,4054.16,4
John Huston,4039.1,4
Muhammed Lee,4014.24,4
Jamie Frazer,3980.79,4
Bart Folk,3960.31,4
Trudy Bell,3948.66,4
Kean Nguyen,3948.59,4
Larry Tron,3924.24,4
Vivian Mathis,3905.75,4
Anthony O'Donnell,3870.97,4
Rick Hansen,3865.69,4
Steven Cartwright,3821.7,4
Theresa Swint,3801.27,4
Michael Granlund,3740.39,4
Mark Haberlin,3728.59,4
Grace Kelly,3714.35,4
Maureen Grace,3681.75,4
Marc Harrigan,3628.68,4
Bradley Nguyen,3617.64,4
Brian DeCherney,3607.58,4
Justin Deggeller,3600.14,4
Rob Williams,3592.92,4
George Ashbrook,3574.22,4
Delfina Latchford,3541.76,4
Toby Knight,3509.5,4
Lisa Ryan,3489.29,4
Giulietta Weimer,3485.03,4
Lena Creighton,3479.67,4
Saphhira Shifley,3471.28,4
Dan Reichenbach,3468.73,4
Kelly Lampkin,3436.68,4
Candace McMahon,3429.75,4
Bradley Nguyen,3352.79,4
Annie Thurman,3329.27,4
Liz Willingham,3328.03,4
Daniel Raglin,3321.86,4
Marina Lichtenstein,3238.91,4
Todd Sumrall,3226.98,4
Lori Olson,3194.03,4
Evan Bailliet,3193.94,4
Theresa Swint,3192.93,4
David Smith,3192.87,4
Laura Armstrong,3122.55,4
Duane Huffman,3087.6,4
David Flashing,3028.86,4
David Wiener,3028.23,4
Kristen Hastings,3023.73,4
Natalie Fritzler,3005.61,4
Cassandra Brandow,2985.56,4
Lindsay Castell,2981.77,4
Ben Ferrer,2977.99,4
George Bell,2952.94,4
Lena Cacioppo,2939.32,4
Aimee Bixby,2913.65,4
Peter McVee,2910.13,4
Phillip Breyer,2899.54,4
Jonathan Howell,2835.72,4
Michelle Tran,2811.7,4
Frank Carlisle,2810.08,4
Roland Fjeld,2804.93,4
Joni Blumstein,2732.34,4
Max Engle,2681.02,4
Sally Hughsby,2657.56,4
Amy Cox,2655.88,4
Andy Yotov,2635.35,4
Hallie Redmond,2615.83,4
Patricia Hirasaki,2576.17,4
Larry Blacks,2556.21,4
Ted Butterfield,2531.27,4
Dorris Love,2526.41,4
Ken Black,2521.81,4
Julia West,2512.79,4
Nora Paige,2506.38,4
Sample Company A,2484.75,4
Gary Hansen,2441.45,4
Darren Koutras,2437.06,4
Brenda Bowman,2423.06,4
Bryan Davis,2354.7,4
Cyma Kinney,2310.23,4
Andrew Roberts,2252.94,4
David Bremer,2209.33,4
Ann Blume,2198.67,4
Bradley Talbott,2185.61,4
Bill Donatelli,2170.35,4
Phillina Ober,2157.49,4
Lisa DeCherney,2126.38,4
Michelle Ellison,2088.36,4
Darrin Martin,2074.56,4
Larry Hughes,1993.07,4
Yana Sorensen,1987.16,4
Frank Olsen,1948.89,4
Paul Lucas,1911.61,4
Sanjit Engle,1896.7,4
Carol Darley,1888.88,4
Randy Bradley,1809.06,4
John Grady,1764.71,4
Anna Gayman,1736.13,4
Maribeth Schnelling,1722.51,4
Kalyca Meade,1661.21,4
Brian Thompson,1653.25,4
Scot Wooten,1635.65,4
Suzanne McNair,1609.34,4
Christopher Conant,1607.06,4
Liz Pelletier,1586.52,4
Karen Bern,1563.71,4
Susan Vittorini,1561.76,4
